id,year,stock,between,out_degree,in_degree,oil,inv,l,open,oilout_degree,oilin_degree,oilbetween
35,2008,-0.6883,6.4714,15.0000,2.0000,-0.7213,0.2730,0.4167,0.6337,-10.8200,-1.4427,-4.6681
35,2009,0.2426,34.6111,14.0000,1.0000,0.5763,0.3171,0.4155,0.4915,8.0676,0.5763,19.9450
35,2010,0.0784,0.0000,12.0000,0.0000,0.1410,0.3074,0.4081,0.4636,1.6924,0.0000,0.0000
35,2011,-0.0311,38.1690,14.0000,3.0000,0.0784,0.2697,0.4061,0.5498,1.0972,0.2351,2.9915
35,2012,0.0580,9.9000,13.0000,1.0000,-0.0736,0.2654,0.4001,0.5149,-0.9564,-0.0736,-0.7284
35,2013,0.2271,2.1000,14.0000,2.0000,0.0694,0.2647,0.4129,0.4926,0.9718,0.1388,0.1458
35,2014,-0.0240,10.3968,11.0000,2.0000,-0.6139,0.2875,0.4068,0.5025,-6.7526,-1.2277,-6.3823
35,2015,-0.1870,34.2556,11.0000,2.0000,-0.3634,0.3488,0.4064,0.4955,-3.9971,-0.7267,-12.4476
35,2016,0.0423,47.0000,14.0000,1.0000,0.3718,0.3033,0.4070,0.5052,5.2050,0.3718,17.4740
35,2017,0.0022,46.8381,12.0000,2.0000,0.1175,0.3033,0.4070,0.5052,1.4104,0.2351,5.5051
36,2008,-0.5331,135.9064,13.0000,18.0000,-0.7213,0.3053,0.3735,0.8852,-9.3773,-12.9840,-98.0339
36,2009,0.4887,165.3778,13.0000,21.0000,0.5763,0.2779,0.3767,0.6961,7.4914,12.1015,95.3007
36,2010,0.0777,184.6738,11.0000,21.0000,0.1410,0.2824,0.3797,0.6795,1.5514,2.9617,26.0449
36,2011,-0.2231,182.8690,17.0000,21.0000,0.0784,0.2713,0.3809,0.8502,1.3324,1.6459,14.3323
36,2012,0.1745,196.8893,14.0000,19.0000,-0.0736,0.2988,0.3822,0.9063,-1.0300,-1.3979,-14.4854
36,2013,0.0152,240.7066,14.0000,20.0000,0.0694,0.3049,0.3833,0.8751,0.9718,1.3883,16.7084
36,2014,0.0428,156.3317,10.0000,22.0000,-0.6139,0.2864,0.3839,0.5390,-6.1387,-13.5052,-95.9675
36,2015,-0.1654,143.8817,7.0000,22.0000,-0.3634,0.2677,0.3840,0.5279,-2.5436,-7.9942,-52.2830
36,2016,-0.0077,165.5913,11.0000,20.0000,0.3718,0.2534,0.3837,0.0000,4.0897,7.4357,61.5647
36,2017,0.1911,203.9934,12.0000,18.0000,0.1175,0.2534,0.3837,0.0000,1.4104,2.1156,23.9763
37,2008,-0.5555,45.4016,7.0000,16.0000,-0.7213,0.2823,0.5851,1.4044,-5.0493,-11.5413,-32.7497
37,2009,0.4901,97.2818,9.0000,20.0000,0.5763,0.2064,0.5859,1.1927,5.1863,11.5252,56.0596
37,2010,0.3407,33.4214,8.0000,15.0000,0.1410,0.2536,0.5848,1.2725,1.1283,2.1155,4.7135
37,2011,-0.0072,81.5571,11.0000,18.0000,0.0784,0.2679,0.5932,1.3968,0.8621,1.4107,6.3920
37,2012,0.3057,60.5302,9.0000,16.0000,-0.0736,0.2802,0.5911,1.3850,-0.6621,-1.1771,-4.4533
37,2013,-0.0693,47.0830,11.0000,17.0000,0.0694,0.2744,0.5804,1.3334,0.7636,1.1800,3.2682
37,2014,0.1425,100.2294,9.0000,19.0000,-0.6139,0.2395,0.5771,1.3207,-5.5248,-11.6635,-61.5279
37,2015,-0.1508,123.0187,11.0000,17.0000,-0.3634,0.2225,0.5664,1.2658,-3.9971,-6.1774,-44.7019
37,2016,0.1806,253.8786,10.0000,18.0000,0.3718,0.2201,0.5663,1.2307,3.7179,6.6922,94.3887
37,2017,0.1280,71.8100,10.0000,15.0000,0.1175,0.2201,0.5663,1.2307,1.1753,1.7630,8.4402
42,2008,-0.9837,6.3107,7.0000,3.0000,-0.7213,0.3649,0.5758,1.5432,-5.0493,-2.1640,-4.5521
42,2009,0.4496,26.5556,7.0000,4.0000,0.5763,0.3716,0.5809,1.3471,4.0338,2.3050,15.3029
42,2010,-0.0206,0.8667,7.0000,4.0000,0.1410,0.3569,0.5871,1.5222,0.9872,0.5641,0.1222
42,2011,-0.3211,0.0000,6.0000,5.0000,0.0784,0.2975,0.5922,1.6292,0.4702,0.3919,0.0000
42,2012,0.1629,2.0333,8.0000,4.0000,-0.0736,0.2724,0.5967,1.5655,-0.5886,-0.2943,-0.1496
42,2013,0.1986,7.5925,8.0000,8.0000,0.0694,0.2659,0.6007,1.6509,0.5553,0.5553,0.5270
42,2014,0.0781,7.1508,9.0000,5.0000,-0.6139,0.2683,0.6041,1.6954,-5.5248,-3.0694,-4.3897
42,2015,0.0594,5.9369,7.0000,6.0000,-0.3634,0.2758,0.6037,1.7877,-2.5436,-2.1802,-2.1573
42,2016,0.1382,32.8722,10.0000,6.0000,0.3718,0.2658,0.6016,1.8469,3.7179,2.2307,12.2215
42,2017,0.3923,7.4417,6.0000,8.0000,0.1175,0.2658,0.6016,1.8469,0.7052,0.9403,0.8747
